Product,Brand,SKU,Category,Old Image,New Image,Recovery Source,Recovery Confidence,Final Visibility
"4 way Concealed Divertor set","Artize","4-WAY-CONCEALED-DIVERTOR-SET","Bath Fittings","https://www.artize.com/in/image/catalog/2026/KAV-CHR-49427.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/4-way-concealed-divertor-set/1789285953585-4-way-concealed-divertor-set.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"4-Hole Bath Tub Mixer","Artize","4-HOLE-BATH-TUB-MIXER","Faucets","https://www.artize.com/in/image/catalog/2026/CEL-CHR-47277.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/4-hole-bath-tub-mixer/1789286216216-4-hole-bath-tub-mixer.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"4-Hole bath tub mixer","Artize","4-HOLE-BATH-TUB-MIXER-VIC-CHR-503277","Faucets","https://www.artize.com/in/image/catalog/2022/VIC/VIC-CHR-503277.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/4-hole-bath-tub-mixer-vic-chr-503277/1789286215972-4-hole-bath-tub-mixer-vic-chr-503277.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"4-Way Concealed  Divertor Set","Artize","4-WAY-CONCEALED-DIVERTOR-SET-47427","Bath Fittings","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/CEL-CHR-47427.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/4-way-concealed-divertor-set-47427/1789285972983-4-way-concealed-divertor-set-47427.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"5-Hole Bath Tub Mixer","Artize","5-HOLE-BATH-TUB-MIXER-NAV-CHR-515287CS","Faucets","https://www.artize.com/in/image/catalog/2026/NAV-CHR-515287CS.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/5-hole-bath-tub-mixer-nav-chr-515287cs/1789285922195-5-hole-bath-tub-mixer-nav-chr-515287cs.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"5-Hole Bath Tub Mixer","Artize","5-HOLE-BATH-TUB-MIXER-NAV-CHR-515287RS","Faucets","https://www.artize.com/in/image/catalog/2026/NAV-CHR-515287RS.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/5-hole-bath-tub-mixer-nav-chr-515287rs/1789285922732-5-hole-bath-tub-mixer-nav-chr-515287rs.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Angular Stop Cock","Artize","ANGULAR-STOP-COCK","Bath Fittings","https://www.artize.com/in/image/catalog/2026/KAV-CHR-49053.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/angular-stop-cock/1789286219103-angular-stop-cock.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Angular Stop Cock","Artize","ANGULAR-STOP-COCK-41053","Bath Fittings","https://www.artize.com/in/image/catalog/2026/SIG-CHR-41053.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/angular-stop-cock-41053/1789286216062-angular-stop-cock-41053.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Angular Stop Cock","Artize","ANGULAR-STOP-2","Bath Fittings","https://www.artize.com/in/image/catalog/2026/Aris-Aura/ASI-CHR-517053.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/angular-stop-2/1789286310396-angular-stop-2.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Angular Stop Cock","Artize","ANGULAR-STOP-1","Bath Fittings","https://www.artize.com/in/image/catalog/2026/Aris-Aura/AUR-CHR-519053.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/angular-stop-1/1789286314031-angular-stop-1.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Angular Stop Cock","Artize","ANGULAR-STOP-COCK-47053","Bath Fittings","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/CEL-CHR-47053.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/angular-stop-cock-47053/1789286220105-angular-stop-cock-47053.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Angular Stop Cock","Artize","ANGULAR-STOP-COCK-45053","Bath Fittings","https://www.artize.com/in/image/catalog/2025/LEB-CHR-45053.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/angular-stop-cock-45053/1789286221472-angular-stop-cock-45053.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Angular stop cock","Artize","ANGULAR-STOP-COCK-VIC-CHR-503053","Bath Fittings","https://www.artize.com/in/image/catalog/2022/VIC/VIC-CHR-503053.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/angular-stop-cock-vic-chr-503053/1789286216094-angular-stop-cock-vic-chr-503053.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Aris 2-Hole Deck Mounted Single Lever Basin Mixer","Artize","ARIS-2-HOLE-DECK-MOUNTED-BASIN-MIXER","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/ASI-CHR-517187RS.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/aris-2-hole-deck-mounted-basin-mixer/1789285925351-aris-2-hole-deck-mounted-basin-mixer.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Aris Concealed Body for Wall Mounted Basin Mixer","Artize","ARIS-SINGLE-LEVER-BUILT-IN-MANUAL-1","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/ALA-CHR-509233.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/aris-single-lever-built-in-manual-1/1789286445320-aris-single-lever-built-in-manual-1.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Aris Exposed parts kit of single lever basin mixer wall mounted","Artize","ARIS-SINGLE-LEVER-BUILT-IN-MANUAL-VALVE","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/ASI-CHR-517231K.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/aris-single-lever-built-in-manual-valve/1789285939453-aris-single-lever-built-in-manual-valve.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Aris Pillar Cock","Artize","ARIS-PILLAR-COCK","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/ASI-CHR-517001.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/aris-pillar-cock/1789286113922-aris-pillar-cock.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Aris Single Lever Basin Mixer","Artize","ARIS-SINGLE-LEVER-BASIN-MIXER-517051B","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/ASI-CHR-517051B.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/aris-single-lever-basin-mixer-517051b/1789285870402-aris-single-lever-basin-mixer-517051b.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Aris Single Lever Basin Mixer","Artize","ARIS-SINGLE-LEVER-BASIN-MIXER","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/ASI-CHR-517011B.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/aris-single-lever-basin-mixer/1789285852032-aris-single-lever-basin-mixer.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Artize Lexa Superior Whirlpool and Airpool Combi System with Filtration System","Artize","AWL-WHT-LEXA190FLTCX","Wellness","https://www.artize.com/in/image/catalog/2024/AWL-WHT-LEXA190FLTCX.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/awl-wht-lexa190fltcx/1789286401920-awl-wht-lexa190fltcx.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Aura Exposed parts kit of single Lever diverter","Artize","AURA-EXPOSED-PARTS-KIT-OF-SINGLE-LEVER-DIVERTER","Showers","https://www.artize.com/in/image/catalog/2026/Aris-Aura/AUR-CHR-519065KCR.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/aura-exposed-parts-kit-of-single-lever-diverter/1789285940811-aura-exposed-parts-kit-of-single-lever-diverter.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Aura Sauna","Artize","SAUNA-AURA","Wellness","https://www.artize.com/in/image/catalog/main/product-img/AURA+150X120X210+CM.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/sauna-aura/1789286440221-sauna-aura.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"BIO Sauna","Artize","SAUNA-BIO","Wellness","https://www.artize.com/in/image/catalog/main/product-img/Sauna+BIO+225X225X210+CM.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/sauna-bio/1789286433647-sauna-bio.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Back To Wall WC","Artize","CFS-WHT-69955P180UF","Sanitaryware","https://www.artize.com/in/image/catalog/2022/sanitary/CFS-WHT-69955P180UF.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/cfs-wht-69955p180uf/1789286375282-cfs-wht-69955p180uf.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Back To Wall WC","Artize","BACK-TO-WALL-WC","Sanitaryware","https://www.artize.com/in/image/catalog/main/product-img/SGS-WHT-41955.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/back-to-wall-wc/1789286375736-back-to-wall-wc.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Basin Mixer","Artize","BASIN-MIXER-71011B","Faucets","https://www.artize.com/in/image/catalog/main/product-img/LIN-CHR-71011B.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/basin-mixer-71011b/1789285795897-basin-mixer-71011b.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Basin Mixer","Artize","BASIN-MIXER-75011B","Faucets","https://www.artize.com/in/image/catalog/main/product-img/TWR-CHR-75011B.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/basin-mixer-75011b/1789285794753-basin-mixer-75011b.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Basin Mixer","Artize","BASIN-MIXER","Faucets","https://www.artize.com/in/image/catalog/main/product-img/TIA-CHR-73011B.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/basin-mixer/1789285795992-basin-mixer.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bath Filler","Artize","BATH-FILLER","Bath Fittings","https://www.artize.com/in/image/catalog/2025/LIN-CHR-71195.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bath-filler/1789285942486-bath-filler.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bath Tub Spout","Artize","BATH-TUB-SPOUT","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/SPT-CHR-517429.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bath-tub-spout/1789286447983-bath-tub-spout.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bath Tub Spout","Artize","BATH-TUB-1","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/SPT-CHR-519429.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bath-tub-1/1789286422642-bath-tub-1.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bath Tub Spout with Button Attachment","Artize","BATH-TUB-SPOUT-WITH-BUTTON-1","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/SPT-CHR-519463.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bath-tub-spout-with-button-1/1789286429934-bath-tub-spout-with-button-1.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bib Cock","Artize","BIB-COCK","Bath Fittings","https://www.artize.com/in/image/catalog/2026/KAV-CHR-49037.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bib-cock/1789286175904-bib-cock.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bib Cock","Artize","BIB-COCK-47037","Bath Fittings","https://www.artize.com/in/image/catalog/main/product-img/CEL-CHR-47037.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bib-cock-47037/1789286174996-bib-cock-47037.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bib Cock","Artize","BIB-COCK-41037","Bath Fittings","https://www.artize.com/in/image/catalog/2026/SIG-CHR-41037.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bib-cock-41037/1789286175007-bib-cock-41037.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bib Cock","Artize","BIB-COCK-45037","Bath Fittings","https://www.artize.com/in/image/catalog/2025/LEB-CHR-45037.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bib-cock-45037/1789286178382-bib-cock-45037.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bidet Mixer with Popup Waste System","Artize","BIDET-MIXER-NAV-CHR-515213B","Faucets","https://www.artize.com/in/image/catalog/2026/NAV-CHR-515213B.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bidet-mixer-nav-chr-515213b/1789286182330-bidet-mixer-nav-chr-515213b.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Blind Installation Wall Hung Bidet","Artize","WALL-HUNG-BIDET-6153","Bath Fittings","https://www.artize.com/in/image/catalog/2022/sanitary/CFS-WHT-69153.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/wall-hung-bidet-6153/1789286393246-wall-hung-bidet-6153.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Blind Installation Wall Hung Bidet","Artize","WALL-HUNG-BIDET-67153","Bath Fittings","https://www.artize.com/in/image/catalog/2022/sanitary/LXS-WHT-67153.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/wall-hung-bidet-67153/1789286392699-wall-hung-bidet-67153.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Blind installation wall hung bidet","Artize","BLIND-INSTALLATION-WALL-HUNG-BIDET","Bath Fittings","https://www.artize.com/in/image/catalog/2025/VCS-WHT-503153.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/blind-installation-wall-hung-bidet/1789286393712-blind-installation-wall-hung-bidet.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Body Shower","Artize","ROUND-SHAPE-BODY-SHOWER","Showers","https://www.artize.com/in/image/catalog/2022/allied/BSA-CHR-70073.jpeg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/round-shape-body-shower/1789286255066-round-shape-body-shower.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Body Shower","Artize","BODY-SHOWER-BSA-CHR-70075","Showers","https://www.artize.com/in/image/catalog/2025/BSA-CHR-70075.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/body-shower-bsa-chr-70075/1789286255959-body-shower-bsa-chr-70075.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bottle Trap","Artize","BOTTLE-TRAP-ALA-CHR-509769L300X190","Bath Fittings","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/ALA-CHR-509769L300X190.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bottle-trap-ala-chr-509769l300x190/1789286501438-bottle-trap-ala-chr-509769l300x190.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bottle Trap","Artize","BOTTLE-TRAP-ALA-CHR-509769L250X190","Bath Fittings","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/ALA-CHR-509769L250X190.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bottle-trap-ala-chr-509769l250x190/1789286502533-bottle-trap-ala-chr-509769l250x190.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Bowl With Cistern For Coupled WC","Artize","WALL-HUNG-WASH-BASIN-67801","Sanitaryware","https://www.artize.com/in/image/catalog/2022/sanitary/LXS-WHT-67753P180UFSMZ.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/wall-hung-wash-basin-67801/1789286376996-wall-hung-wash-basin-67801.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Built In Bathtub with Frame","Artize","BATHTUB-BUILT","Wellness","https://www.artize.com/in/image/catalog/2022/ABT-WHT-QUADRO190FX.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/bathtub-built/1789286422920-bathtub-built.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Cellini Bath Tub Spout","Artize","CELLINI-BATH-TUB-SPOUT","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/SPT-CHR-47429.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/cellini-bath-tub-spout/1789286434628-cellini-bath-tub-spout.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Cellini Bath Tub Spout","Artize","CELLINI-BATH-TUB-SPOUT-47463","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/SPT-CHR-47463.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/cellini-bath-tub-spout-47463/1789286434516-cellini-bath-tub-spout-47463.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Central Hole Basin Mixer","Artize","CENTRAL-HOLE-BASIN-MIXER","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/CEL-CHR-47167B.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/central-hole-basin-mixer/1789285803877-central-hole-basin-mixer.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Cilica Pneumatic Black Glass Control Plate","Artize","BLACK-GLASS-CONTROL-PLATE","Bath Fittings","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/ACP-CHR-5012503.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/black-glass-control-plate/1789286440833-black-glass-control-plate.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Cilica Pneumatic Black Glass Control Plate Black Glass","Artize","BLACK-GLASS-CONTROL-PLATE-5012503","Bath Fittings","https://www.artize.com/in/image/catalog/2026/ACP-ROG-5012503.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/black-glass-control-plate-5012503/1789286442103-black-glass-control-plate-5012503.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Cilica Pneumatic WHITE GLASS Control Plate","Artize","WHITE-GLASS-CONTROL-PLATE","Bath Fittings","https://www.artize.com/in/image/catalog/2026/ACP-ROG-5012501.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/white-glass-control-plate/1789286444783-white-glass-control-plate.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Cilica Pneumatic White Glass Control Plate","Artize","WHITE-GLASS-CONTROL-PLATE-5012501","Bath Fittings","https://www.artize.com/in/image/catalog/2025/ACP-CHR-5012501.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/white-glass-control-plate-5012501/1789286444116-white-glass-control-plate-5012501.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"Click Clack Waste","Artize","CLICK-CLACK-WASTE-ALA-CHR-509729L130","Bath Fittings","https://www.artize.com/in/image/catalog/2026/ALA-CHR-509729L130.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/click-clack-waste-ala-chr-509729l130/1789286502699-click-clack-waste-ala-chr-509729l130.jpg","Existing S3 Asset","EXACT","PUBLISHED"
